# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s
osd1;1;2021-04-26 21:50:49 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 21:50:49 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 21:50:49 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 21:50:50 UTC;eth0;70212.00;31494.00;102206.70;43214.16;0.00;0.00;0.00
osd1;1;2021-04-26 21:50:50 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 21:50:50 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 21:50:50 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 21:50:50 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 21:50:51 UTC;eth0;47487.00;25215.00;68864.97;34606.53;0.00;0.00;0.00
osd1;1;2021-04-26 21:50:51 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 21:50:51 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 21:50:52 UTC;ib0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 21:50:51 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 21:50:51 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 21:50:52 UTC;eth0;64929.00;29000.00;94664.43;39960.14;0.00;0.00;0.00
osd1;1;2021-04-26 21:50:52 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 21:50:52 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 21:50:52 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 21:50:52 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 21:50:53 UTC;eth0;50363.00;30195.00;73159.09;42089.33;0.00;0.00;0.00
node1;1;2021-04-26 21:50:53 UTC;eth0;55.00;27.00;56.17;19.00;0.00;0.00;0.00
node1;1;2021-04-26 21:50:53 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 21:50:53 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 21:50:53 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 21:50:53 UTC;lo;8.00;8.00;2.05;2.05;0.00;0.00;0.00
node1;1;2021-04-26 21:50:53 UTC;ib0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 21:50:54 UTC;eth0;109.00;65.00;63.89;6.36;0.00;0.00;0.00
node1;1;2021-04-26 21:50:54 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 21:50:54 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 21:50:54 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 21:50:53 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 21:50:54 UTC;lo;11.00;11.00;17.37;17.37;0.00;0.00;0.00
osd1;1;2021-04-26 21:50:53 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 21:50:54 UTC;ib0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 21:50:55 UTC;eth0;29.00;30.00;13.92;20.08;0.00;0.00;0.00
node1;1;2021-04-26 21:50:55 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 21:50:55 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 21:50:55 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 21:50:55 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 21:50:55 UTC;ib0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 21:50:56 UTC;eth0;32.00;3.00;42.65;0.21;0.00;0.00;0.00
node1;1;2021-04-26 21:50:56 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 21:50:56 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 21:50:56 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 21:50:56 UTC;lo;12.00;12.00;22.38;22.38;0.00;0.00;0.00
osd1;1;2021-04-26 21:50:53 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 21:50:53 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 21:50:54 UTC;eth0;56118.00;28042.00;81805.26;38863.06;0.00;0.00;0.00
node1;1;2021-04-26 21:50:56 UTC;ib0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
