# hostname;interval;timestamp;tps;rtps;wtps;bread/s;bwrtn/s
node1;1;2021-04-26 09:59:03 UTC;6.00;0.00;6.00;0.00;48.00
node1;1;2021-04-26 09:59:04 UTC;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 09:59:05 UTC;6.00;0.00;6.00;0.00;48.00
node1;1;2021-04-26 09:59:06 UTC;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 09:59:07 UTC;6.00;0.00;6.00;0.00;47.00
node1;1;2021-04-26 09:59:08 UTC;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 09:59:09 UTC;6.00;0.00;6.00;0.00;53.00
node1;1;2021-04-26 09:59:10 UTC;17.00;0.00;17.00;0.00;338.00
node1;1;2021-04-26 09:59:11 UTC;6.00;0.00;6.00;0.00;47.00
node1;1;2021-04-26 09:59:12 UTC;21.00;0.00;21.00;0.00;2719.00
node1;1;2021-04-26 09:59:13 UTC;6.00;0.00;6.00;0.00;48.00
node1;1;2021-04-26 09:59:14 UTC;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 09:59:15 UTC;6.00;0.00;6.00;0.00;56.00
node1;1;2021-04-26 09:59:16 UTC;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 09:59:17 UTC;6.00;0.00;6.00;0.00;47.00
node1;1;2021-04-26 09:59:18 UTC;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 09:59:19 UTC;6.00;0.00;6.00;0.00;47.00
node1;1;2021-04-26 09:59:20 UTC;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 09:59:21 UTC;6.00;0.00;6.00;0.00;48.00
node1;1;2021-04-26 09:59:22 UTC;19.00;0.00;19.00;0.00;2752.00
node1;1;2021-04-26 09:59:23 UTC;6.00;0.00;6.00;0.00;48.00
node1;1;2021-04-26 09:59:24 UTC;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 09:59:25 UTC;6.00;0.00;6.00;0.00;48.00
node1;1;2021-04-26 09:59:26 UTC;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 09:59:27 UTC;6.00;0.00;6.00;0.00;47.00
node1;1;2021-04-26 09:59:28 UTC;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 09:59:29 UTC;6.00;0.00;6.00;0.00;47.00
node1;1;2021-04-26 09:59:30 UTC;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 09:59:31 UTC;6.00;0.00;6.00;0.00;48.00
node1;1;2021-04-26 09:59:32 UTC;19.00;0.00;19.00;0.00;2673.00
node1;1;2021-04-26 09:59:33 UTC;6.00;0.00;6.00;0.00;58.00
node1;1;2021-04-26 09:59:34 UTC;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 09:59:35 UTC;6.00;0.00;6.00;0.00;48.00
node1;1;2021-04-26 09:59:36 UTC;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 09:59:37 UTC;13.00;0.00;13.00;0.00;1319.00
node1;1;2021-04-26 09:59:38 UTC;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 09:59:39 UTC;6.00;0.00;6.00;0.00;57.00
node1;1;2021-04-26 09:59:40 UTC;23.00;0.00;23.00;0.00;356.00
node1;1;2021-04-26 09:59:41 UTC;84.00;0.00;84.00;0.00;34950.00
node1;1;2021-04-26 09:59:42 UTC;41.00;0.00;41.00;0.00;16130.00
node1;1;2021-04-26 09:59:43 UTC;6.00;0.00;6.00;0.00;48.00
node1;1;2021-04-26 09:59:44 UTC;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 09:59:45 UTC;6.00;0.00;6.00;0.00;49.00
node1;1;2021-04-26 09:59:46 UTC;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 09:59:47 UTC;6.00;0.00;6.00;0.00;47.00
node1;1;2021-04-26 09:59:48 UTC;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 09:59:49 UTC;6.00;0.00;6.00;0.00;47.00
node1;1;2021-04-26 09:59:50 UTC;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 09:59:51 UTC;6.00;0.00;6.00;0.00;48.00
# hostname;interval;timestamp;tps;rtps;wtps;bread/s;bwrtn/s
osd2;1;2021-04-26 09:58:43 UTC;407.00;0.00;407.00;0.00;150293.00
osd2;1;2021-04-26 09:58:44 UTC;413.00;0.00;413.00;0.00;184640.00
osd2;1;2021-04-26 09:58:45 UTC;421.00;0.00;421.00;0.00;182206.00
osd2;1;2021-04-26 09:58:46 UTC;458.00;0.00;458.00;0.00;196728.00
osd2;1;2021-04-26 09:58:47 UTC;459.00;0.00;459.00;0.00;196184.00
osd2;1;2021-04-26 09:58:48 UTC;431.00;0.00;431.00;0.00;188880.00
osd2;1;2021-04-26 09:58:49 UTC;479.00;0.00;479.00;0.00;198918.00
osd2;1;2021-04-26 09:58:50 UTC;387.00;0.00;387.00;0.00;186656.00
osd2;1;2021-04-26 09:58:51 UTC;472.00;0.00;472.00;0.00;186279.00
osd2;1;2021-04-26 09:58:52 UTC;459.00;0.00;459.00;0.00;194317.00
osd2;1;2021-04-26 09:58:53 UTC;437.00;0.00;437.00;0.00;178431.00
osd2;1;2021-04-26 09:58:54 UTC;413.00;0.00;413.00;0.00;178184.00
osd2;1;2021-04-26 09:58:55 UTC;475.00;0.00;475.00;0.00;195007.00
osd2;1;2021-04-26 09:58:56 UTC;438.00;0.00;438.00;0.00;181536.00
osd2;1;2021-04-26 09:58:57 UTC;446.00;0.00;446.00;0.00;187527.00
osd2;1;2021-04-26 09:58:58 UTC;414.00;0.00;414.00;0.00;189080.00
osd2;1;2021-04-26 09:58:59 UTC;477.00;0.00;477.00;0.00;199295.00
osd2;1;2021-04-26 09:59:00 UTC;426.00;0.00;426.00;0.00;188920.00
osd2;1;2021-04-26 09:59:01 UTC;494.00;0.00;494.00;0.00;195601.00
osd2;1;2021-04-26 09:59:02 UTC;476.00;0.00;476.00;0.00;202975.00
osd2;1;2021-04-26 09:59:03 UTC;442.00;0.00;442.00;0.00;188503.00
osd2;1;2021-04-26 09:59:04 UTC;445.00;0.00;445.00;0.00;197752.00
osd2;1;2021-04-26 09:59:05 UTC;425.00;0.00;425.00;0.00;174527.00
osd2;1;2021-04-26 09:59:06 UTC;479.00;0.00;479.00;0.00;195136.00
osd2;1;2021-04-26 09:59:07 UTC;426.00;0.00;426.00;0.00;187167.00
osd2;1;2021-04-26 09:59:08 UTC;441.00;0.00;441.00;0.00;191056.00
osd2;1;2021-04-26 09:59:09 UTC;441.00;0.00;441.00;0.00;182047.00
osd2;1;2021-04-26 09:59:10 UTC;482.00;0.00;482.00;0.00;204040.00
osd2;1;2021-04-26 09:59:11 UTC;473.00;0.00;473.00;0.00;193386.00
osd2;1;2021-04-26 09:59:12 UTC;390.00;0.00;390.00;0.00;178599.00
osd2;1;2021-04-26 09:59:13 UTC;441.00;0.00;441.00;0.00;188863.00
osd2;1;2021-04-26 09:59:14 UTC;416.00;1.00;415.00;16.00;184696.00
osd2;1;2021-04-26 09:59:15 UTC;404.00;0.00;404.00;0.00;175879.00
osd2;1;2021-04-26 09:59:16 UTC;424.00;0.00;424.00;0.00;190024.00
osd2;1;2021-04-26 09:59:17 UTC;438.00;0.00;438.00;0.00;185495.00
osd2;1;2021-04-26 09:59:18 UTC;409.00;0.00;409.00;0.00;176576.00
osd2;1;2021-04-26 09:59:19 UTC;405.00;0.00;405.00;0.00;177367.00
osd2;1;2021-04-26 09:59:20 UTC;450.00;0.00;450.00;0.00;188224.00
osd2;1;2021-04-26 09:59:21 UTC;431.00;0.00;431.00;0.00;180893.00
osd2;1;2021-04-26 09:59:22 UTC;431.00;0.00;431.00;0.00;188336.00
osd2;1;2021-04-26 09:59:23 UTC;413.00;0.00;413.00;0.00;186071.00
osd2;1;2021-04-26 09:59:24 UTC;415.00;1.00;414.00;8.00;177656.00
osd2;1;2021-04-26 09:59:25 UTC;444.00;0.00;444.00;0.00;190263.00
osd2;1;2021-04-26 09:59:26 UTC;489.00;0.00;489.00;0.00;197048.00
osd2;1;2021-04-26 09:59:27 UTC;445.00;0.00;445.00;0.00;189460.00
osd2;1;2021-04-26 09:59:28 UTC;433.00;0.00;433.00;0.00;195720.00
osd2;1;2021-04-26 09:59:29 UTC;430.00;0.00;430.00;0.00;172103.00
osd2;1;2021-04-26 09:59:30 UTC;461.00;0.00;461.00;0.00;200304.00
osd2;1;2021-04-26 09:59:31 UTC;448.00;0.00;448.00;0.00;190894.00
osd2;1;2021-04-26 09:59:32 UTC;416.00;0.00;416.00;0.00;178263.00
osd2;1;2021-04-26 09:59:33 UTC;462.00;0.00;462.00;0.00;195695.00
osd2;1;2021-04-26 09:59:34 UTC;409.00;0.00;409.00;0.00;180616.00
osd2;1;2021-04-26 09:59:35 UTC;495.00;0.00;495.00;0.00;205239.00
osd2;1;2021-04-26 09:59:36 UTC;500.00;0.00;500.00;0.00;204560.00
osd2;1;2021-04-26 09:59:37 UTC;413.00;0.00;413.00;0.00;189876.00
osd2;1;2021-04-26 09:59:38 UTC;429.00;0.00;429.00;0.00;195736.00
osd2;1;2021-04-26 09:59:39 UTC;475.00;0.00;475.00;0.00;198471.00
osd2;1;2021-04-26 09:59:40 UTC;443.00;0.00;443.00;0.00;198344.00
osd2;1;2021-04-26 09:59:41 UTC;496.00;0.00;496.00;0.00;239272.00
osd2;1;2021-04-26 09:59:42 UTC;496.00;0.00;496.00;0.00;201995.00
osd2;1;2021-04-26 09:59:43 UTC;467.00;0.00;467.00;0.00;199168.00
osd2;1;2021-04-26 09:59:44 UTC;445.00;0.00;445.00;0.00;189800.00
osd1;1;2021-04-26 10:00:48 UTC;417.00;0.00;417.00;0.00;173536.00
osd1;1;2021-04-26 10:00:49 UTC;652.00;0.00;652.00;0.00;248544.00
osd1;1;2021-04-26 10:00:50 UTC;447.00;1.00;446.00;16.00;181832.00
osd1;1;2021-04-26 10:00:51 UTC;416.00;0.00;416.00;0.00;173951.00
osd1;1;2021-04-26 10:00:52 UTC;606.00;0.00;606.00;0.00;232949.00
osd1;1;2021-04-26 10:00:53 UTC;499.00;0.00;499.00;0.00;182589.00
osd1;1;2021-04-26 10:00:54 UTC;461.00;0.00;461.00;0.00;186544.00
osd1;1;2021-04-26 10:00:55 UTC;542.00;0.00;542.00;0.00;218656.00
osd1;1;2021-04-26 10:00:56 UTC;529.00;0.00;529.00;0.00;206992.00
osd1;1;2021-04-26 10:00:57 UTC;477.00;0.00;477.00;0.00;191493.00
osd1;1;2021-04-26 10:00:58 UTC;509.00;0.00;509.00;0.00;188568.00
osd1;1;2021-04-26 10:00:59 UTC;714.00;0.00;714.00;0.00;268831.00
osd1;1;2021-04-26 10:01:00 UTC;519.00;1.00;518.00;16.00;197464.00
osd1;1;2021-04-26 10:01:01 UTC;509.00;1.00;508.00;8.00;185300.00
osd1;1;2021-04-26 10:01:02 UTC;678.00;1.00;677.00;16.00;258934.00
osd1;1;2021-04-26 10:01:03 UTC;525.00;0.00;525.00;0.00;209359.00
osd1;1;2021-04-26 10:01:04 UTC;439.00;0.00;439.00;0.00;164472.00
osd1;1;2021-04-26 10:01:05 UTC;686.00;0.00;686.00;0.00;257887.00
osd1;1;2021-04-26 10:01:06 UTC;521.00;0.00;521.00;0.00;207368.00
osd1;1;2021-04-26 10:01:07 UTC;530.00;0.00;530.00;0.00;188991.00
osd1;1;2021-04-26 10:01:08 UTC;586.00;0.00;586.00;0.00;228336.00
osd1;1;2021-04-26 10:01:09 UTC;571.00;0.00;571.00;0.00;216149.00
osd1;1;2021-04-26 10:01:10 UTC;553.00;0.00;553.00;0.00;207964.00
osd1;1;2021-04-26 10:01:11 UTC;370.00;0.00;370.00;0.00;137327.00
osd1;1;2021-04-26 10:01:12 UTC;685.00;0.00;685.00;0.00;263089.00
osd1;1;2021-04-26 10:01:13 UTC;534.00;0.00;534.00;0.00;199740.00
osd1;1;2021-04-26 10:01:14 UTC;552.48;0.00;552.48;0.00;224538.61
osd1;1;2021-04-26 10:01:15 UTC;511.00;0.00;511.00;0.00;184447.00
osd1;1;2021-04-26 10:01:16 UTC;562.00;0.00;562.00;0.00;212136.00
osd1;1;2021-04-26 10:01:17 UTC;487.00;0.00;487.00;0.00;192487.00
osd1;1;2021-04-26 10:01:18 UTC;649.00;0.00;649.00;0.00;240904.00
osd1;1;2021-04-26 10:01:19 UTC;502.00;0.00;502.00;0.00;183332.00
osd1;1;2021-04-26 10:01:20 UTC;542.00;2.00;540.00;24.00;199776.00
osd1;1;2021-04-26 10:01:21 UTC;547.00;0.00;547.00;0.00;199972.00
osd1;1;2021-04-26 10:01:22 UTC;484.00;0.00;484.00;0.00;175089.00
osd1;1;2021-04-26 10:01:23 UTC;721.00;0.00;721.00;0.00;267867.00
osd1;1;2021-04-26 10:01:24 UTC;548.00;0.00;548.00;0.00;206400.00
osd1;1;2021-04-26 10:01:25 UTC;444.00;0.00;444.00;0.00;175767.00
