# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s
osd1;1;2021-04-26 09:59:05 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd2;1;2021-04-26 09:58:58 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd2;1;2021-04-26 09:58:58 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd2;1;2021-04-26 09:58:59 UTC;eth0;54782.00;33347.00;79604.32;46405.52;0.00;0.00;0.00
osd2;1;2021-04-26 09:58:59 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd2;1;2021-04-26 09:58:59 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:59:05 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd2;1;2021-04-26 09:59:00 UTC;eth0;74171.00;42961.00;107596.87;59406.71;0.00;0.00;0.00
node1;1;2021-04-26 09:58:47 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 09:58:47 UTC;lo;8.00;8.00;18.58;18.58;0.00;0.00;0.00
node1;1;2021-04-26 09:58:47 UTC;ib0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 09:58:48 UTC;eth0;32.00;2.00;42.60;0.14;0.00;0.00;0.00
node1;1;2021-04-26 09:58:48 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 09:58:48 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 09:58:48 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 09:58:48 UTC;lo;2.00;2.00;1.64;1.64;0.00;0.00;0.00
node1;1;2021-04-26 09:58:48 UTC;ib0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 09:58:49 UTC;eth0;59.00;31.00;56.20;19.23;0.00;0.00;0.00
node1;1;2021-04-26 09:58:49 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 09:58:49 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:59:06 UTC;eth0;69949.00;45672.00;101145.05;63669.66;0.00;0.00;0.00
node1;1;2021-04-26 09:58:49 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:59:06 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:59:06 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:59:06 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:59:06 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:59:07 UTC;eth0;77401.00;46082.00;111899.63;63696.28;0.00;0.00;0.00
osd1;1;2021-04-26 09:59:07 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 09:58:49 UTC;lo;11.00;11.00;17.32;17.32;0.00;0.00;0.00
osd1;1;2021-04-26 09:59:07 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:59:07 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:59:07 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 09:58:49 UTC;ib0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:59:08 UTC;eth0;65465.00;36724.00;95211.01;50864.55;0.00;0.00;0.00
node1;1;2021-04-26 09:58:50 UTC;eth0;8.00;3.00;2.49;0.21;0.00;0.00;0.00
node1;1;2021-04-26 09:58:50 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 09:58:50 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 09:58:50 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 09:58:50 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00
node1;1;2021-04-26 09:58:50 UTC;ib0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:59:08 UTC;eth1;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:59:08 UTC;eth2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:59:08 UTC;eth3;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:59:08 UTC;lo;0.00;0.00;0.00;0.00;0.00;0.00;0.00
osd1;1;2021-04-26 09:59:09 UTC;eth0;67416.00;43277.00;97375.69;60350.61;0.00;0.00;0.00
